symbol,market_variable,sentiment_variable,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
4CHAN-USD,Volume,sentiment_mean_regular,0.18079289095834078,0.047204179654630356,0.21634065399004504,0.017156217680993544
AAL,Close,sentiment_mean_top_influencer,0.3246170439088918,0.0001377944389387531,0.3659688466153193,1.4777706078478103e-05
AAL,Close,sentiment_mean_highly_influential,-0.3148167294996063,0.0002642845011877106,-0.3007597712740911,0.0005071889469449256
AAL,Close,sentiment_mean_influential,0.283220085340413,0.001253146018082729,0.3210766700439277,0.00023276174896966738
AAL,Close,bullish_ratio_top_influencer,0.3135687341904669,0.0002376126082068671,0.3538136090287301,2.9431710379789806e-05
AAL,Close,bearish_ratio_top_influencer,-0.3020004355206216,0.00041114949105517697,-0.31994800487561187,0.00017391944224236304
AAL,Return,sentiment_mean_top_influencer,0.1994957976905497,0.02182870042087115,0.20219233913579518,0.020072717434179498
AAL,Return,sentiment_mean_highly_influential,0.2112582492317235,0.01624928818135656,0.25919554076850176,0.003015975875577339
AAL,Return,sentiment_mean_influential,0.18181678635403295,0.041593538823017626,0.28783452513504393,0.001082397778618002
AAL,Return,sentiment_mean_regular,0.2718717008555096,0.0016133773165649297,0.3954240650467088,2.697950522119203e-06
AAL,Return,bullish_ratio_top_influencer,0.24523333399194502,0.004595072562576066,0.24908741808649693,0.003975279168507331
AAL,Volatility_20d,sentiment_mean_top_influencer,-0.22135458529536545,0.018464151055478793,-0.2955425885780847,0.0014827664071533147
AAL,Volatility_20d,sentiment_mean_highly_influential,0.2064898654223454,0.02967740273211233,0.22756687909808446,0.01630433700566678
AAL,Volatility_20d,sentiment_mean_regular,0.19109597355513694,0.042609577179729505,0.19187711807990548,0.041754171510131034
AAL,Volatility_20d,bullish_ratio_top_influencer,-0.20653311720110926,0.028178863996086025,-0.2639656074402385,0.004726849198447975
AAL,Volatility_20d,bearish_ratio_top_influencer,0.21250592193051707,0.023838168420618044,0.2795926309884041,0.002707637589991913
AAL,Volume,sentiment_mean_top_influencer,-0.238748734314275,0.005648209401582612,-0.25263858212020995,0.003348244266825533
AAL,Volume,sentiment_mean_highly_influential,0.22821439828116913,0.00901539621493365,0.275864411733596,0.0014888942893109267
AAL,Volume,sentiment_mean_influential,-0.2893243533067214,0.0009698290287076734,-0.39036202568987516,5.706010734584357e-06
AAL,Volume,bullish_ratio_top_influencer,-0.245999471075487,0.004314240060353014,-0.2541207004719099,0.0031612014661755857
AAL,Volume,bearish_ratio_top_influencer,0.2066505157789504,0.017008035121902774,0.21378972153059603,0.013477049966398317
AAPL,Close,sentiment_mean_top_influencer,0.4012419376192935,0.0002718904027558776,0.42050354708582555,0.00012651436869918312
AAPL,Close,sentiment_mean_influential,-0.3291014202192063,0.0034723701651960697,-0.2669103010111598,0.01894747577240524
AAPL,Close,bullish_ratio_top_influencer,0.372857897299135,0.0007739915492726568,0.39091288458377066,0.0004022174997424657
AAPL,Close,bearish_ratio_top_influencer,-0.3792170917884061,0.0006172482459553705,-0.4139160794373847,0.00016520888072246509
AAPL,Return,sentiment_mean_top_influencer,0.28878651198931293,0.010341423280883614,0.35699743294680003,0.0013345829728825427
AAPL,Return,sentiment_mean_highly_influential,0.30409525981557023,0.006794360745649418,0.41780267587245135,0.00014123600988858468
AAPL,Return,sentiment_mean_regular,0.32085072807329484,0.0041824311645910495,0.41892549808939467,0.00013493370647461753
AAPL,Return,bullish_ratio_top_influencer,0.28241731232416817,0.012238362717870106,0.3730320312598794,0.0007692570129842783
AAPL,Return,bearish_ratio_top_influencer,-0.25873720067228884,0.022177695822939512,-0.35910666030259625,0.0012432751836292904
AAPL,Volume,sentiment_mean_top_influencer,-0.32450502315428337,0.003748825501278403,-0.3419491900504558,0.0021825890803235564
AAPL,Volume,sentiment_mean_regular,-0.3484768462672558,0.0017683871078302488,-0.3564179897262011,0.0013607067347265497
AAPL,Volume,bullish_ratio_top_influencer,-0.24011776918478786,0.03421659986393777,-0.3004969713830473,0.007514184435603381
AAPL,Volume,bearish_ratio_top_influencer,0.3687254168674003,0.0008944246990491973,0.3868275294173762,0.0004679649404940998
ADA-USD,Close,sentiment_mean_top_influencer,0.23331885840604544,0.01714263462182497,0.29447414270753264,0.002410589758156707
ADA-USD,Close,sentiment_mean_highly_influential,0.29036369234854115,0.0027893060309697438,0.28226193151334994,0.003696044146185549
ADA-USD,Close,sentiment_mean_influential,0.2599170561130023,0.007708726792137913,0.28866524953187406,0.0029608379228471893
ADA-USD,Close,sentiment_mean_regular,0.2279280781484498,0.01996286043453721,0.2498286076534351,0.010537828663953766
ADA-USD,Close,bullish_ratio_top_influencer,0.2709212250037034,0.005407570303700235,0.33151836755836656,0.0005866110612189146
ADA-USD,Close,bearish_ratio_top_influencer,-0.17326286249639095,0.07859201115801091,-0.24293695457491535,0.012959412727674025
ADA-USD,Return,sentiment_mean_top_influencer,0.1954441336122764,0.04678117401814388,0.179390331582367,0.06843525218154167
ADA-USD,Return,sentiment_mean_highly_influential,0.3443820912814161,0.0003439533704752283,0.4013983917342212,2.4105328557661066e-05
ADA-USD,Return,sentiment_mean_influential,0.2925964342590362,0.0025774293525852466,0.36619151104761555,0.00013184947026893357
ADA-USD,Return,sentiment_mean_regular,0.37597086769570753,8.384210342049549e-05,0.41293266020059183,1.3230796047553735e-05
ADA-USD,Return,bullish_ratio_top_influencer,0.21631501107822476,0.027418370671522453,0.2045005309778394,0.037309662231255064
ADA-USD,Volatility_20d,sentiment_mean_regular,0.15445205206771911,0.11747027031372008,0.2532058234874723,0.009503185735728397
AMD,Close,sentiment_mean_top_influencer,0.5262556881146384,5.670967577454906e-06,0.5167936541070871,8.89620838093325e-06
AMD,Close,sentiment_mean_highly_influential,0.5609654758669531,9.62556773643956e-07,0.5828888726846323,2.8187398219087926e-07
AMD,Close,sentiment_mean_influential,0.6493438836992792,3.683251801721036e-09,0.6794568037927791,3.559545093446358e-10
AMD,Close,sentiment_mean_regular,0.5459694514072593,2.1222435525915435e-06,0.5121230782355795,1.1055878844608875e-05
AMD,Close,bullish_ratio_top_influencer,0.560173499549585,1.0045757990957487e-06,0.5531746117296471,1.4584878264113685e-06
AMD,Close,bearish_ratio_top_influencer,-0.44119312688109946,0.00020894773505959746,-0.43590171843515746,0.00025379920400726743
AMD,Return,sentiment_mean_top_influencer,0.32139240878425757,0.008505254165226666,0.4049055422189752,0.0007454673872550514
