symbol,market_variable,sentiment_variable,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
4CHAN-USD,Close,sentiment_mean_top_influencer,,,,
4CHAN-USD,Close,sentiment_mean_highly_influential,,,,
4CHAN-USD,Close,sentiment_mean_influential,,,,
4CHAN-USD,Close,sentiment_mean_regular,,,,
4CHAN-USD,Close,bullish_ratio_top_influencer,,,,
4CHAN-USD,Close,bearish_ratio_top_influencer,,,,
4CHAN-USD,Return,sentiment_mean_top_influencer,,,,
4CHAN-USD,Return,sentiment_mean_highly_influential,,,,
4CHAN-USD,Return,sentiment_mean_influential,,,,
4CHAN-USD,Return,sentiment_mean_regular,,,,
4CHAN-USD,Return,bullish_ratio_top_influencer,,,,
4CHAN-USD,Return,bearish_ratio_top_influencer,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_top_influencer,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_highly_influential,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_influential,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_regular,,,,
4CHAN-USD,Volatility_20d,bullish_ratio_top_influencer,,,,
4CHAN-USD,Volatility_20d,bearish_ratio_top_influencer,,,,
4CHAN-USD,Volume,sentiment_mean_top_influencer,0.03601410244736775,0.7434987840625985,0.19573094564556148,0.07261566084331555
4CHAN-USD,Volume,sentiment_mean_highly_influential,0.0046129488009843,0.9616759773536985,-0.05661884383038898,0.5550312883637305
4CHAN-USD,Volume,sentiment_mean_influential,0.19877427826722374,0.06988851552807737,-0.056988648579835426,0.6066214001321062
4CHAN-USD,Volume,sentiment_mean_regular,0.18079289095834078,0.047204179654630356,0.21634065399004504,0.017156217680993544
4CHAN-USD,Volume,bullish_ratio_top_influencer,0.027341423179657383,0.8038330049467414,0.19589493606868044,0.07237170404231637
4CHAN-USD,Volume,bearish_ratio_top_influencer,-0.041279174947818624,0.7075859487163119,-0.07923678601465836,0.47100480381025733
AAL,Close,sentiment_mean_top_influencer,0.3246170439088918,0.0001377944389387531,0.3659688466153193,1.4777706078478103e-05
AAL,Close,sentiment_mean_highly_influential,-0.3148167294996063,0.0002642845011877106,-0.3007597712740911,0.0005071889469449256
AAL,Close,sentiment_mean_influential,0.283220085340413,0.001253146018082729,0.3210766700439277,0.00023276174896966738
AAL,Close,sentiment_mean_regular,-0.1377612136179362,0.11381122742949297,-0.052135725216630756,0.5511828818137696
AAL,Close,bullish_ratio_top_influencer,0.3135687341904669,0.0002376126082068671,0.3538136090287301,2.9431710379789806e-05
AAL,Close,bearish_ratio_top_influencer,-0.3020004355206216,0.00041114949105517697,-0.31994800487561187,0.00017391944224236304
AAL,Return,sentiment_mean_top_influencer,0.1994957976905497,0.02182870042087115,0.20219233913579518,0.020072717434179498
AAL,Return,sentiment_mean_highly_influential,0.2112582492317235,0.01624928818135656,0.25919554076850176,0.003015975875577339
AAL,Return,sentiment_mean_influential,0.18181678635403295,0.041593538823017626,0.28783452513504393,0.001082397778618002
AAL,Return,sentiment_mean_regular,0.2718717008555096,0.0016133773165649297,0.3954240650467088,2.697950522119203e-06
AAL,Return,bullish_ratio_top_influencer,0.24523333399194502,0.004595072562576066,0.24908741808649693,0.003975279168507331
AAL,Return,bearish_ratio_top_influencer,-0.132686195249675,0.12935172750601487,-0.1289821785458821,0.14049180701945255
AAL,Volatility_20d,sentiment_mean_top_influencer,-0.22135458529536545,0.018464151055478793,-0.2955425885780847,0.0014827664071533147
AAL,Volatility_20d,sentiment_mean_highly_influential,0.2064898654223454,0.02967740273211233,0.22756687909808446,0.01630433700566678
AAL,Volatility_20d,sentiment_mean_influential,0.12310248734664418,0.20650425283177912,0.08240427240729112,0.39876946037745153
AAL,Volatility_20d,sentiment_mean_regular,0.19109597355513694,0.042609577179729505,0.19187711807990548,0.041754171510131034
